,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
0,Mataura,-46.19,168.86,55.0,75,20,8.01,1554065406
1,Mount Gambier,-37.83,140.78,51.8,93,90,2.13,1554062400
2,Anadyr,64.73,177.51,33.37,95,90,20.13,1554065547
3,Lixourion,38.2,20.43,54.25,81,0,4.7,1554066024
4,Warmbad,50.67,13.08,41.31,81,12,2.24,1554066317
5,Cidreira,-30.17,-50.22,74.81,80,48,2.13,1554065850
6,Kragujevac,44.01,20.91,48.2,49,0,2.24,1554064200
7,Changchun,43.88,125.32,23.0,45,0,2.24,1554062400
8,Yellowknife,62.45,-114.38,35.55,59,75,16.11,1554065549
9,New Norfolk,-42.78,147.06,45.18,66,75,9.17,1554066015
10,Ushuaia,-54.81,-68.31,51.01,81,75,16.11,1554062400
11,Rikitea,-23.12,-134.97,76.88,100,68,18.57,1554065854
12,Punta Arenas,-53.16,-70.91,55.2,66,75,13.87,1554065546
13,Palana,59.08,159.95,28.64,70,8,3.8,1554066180
14,Hilo,19.71,-155.08,76.39,65,75,10.29,1554066015
15,Bay Roberts,47.58,-53.28,44.15,71,40,11.41,1554066135
16,Severo-Kurilsk,50.68,156.12,27.56,100,48,4.03,1554066094
17,Hailar,49.2,119.7,9.47,64,12,7.94,1554066096
18,Kurchum,48.57,83.65,35.3,78,8,2.35,1554066344
19,Hermanus,-34.42,19.24,57.99,99,100,4.0,1554066089
20,Hithadhoo,-0.6,73.08,83.18,100,0,4.92,1554066167
21,Mecca,21.43,39.83,64.64,39,12,7.16,1554066339
22,Timmins,48.48,-81.33,24.8,38,40,9.17,1554062400
23,Mar del Plata,-46.43,-67.52,75.35,28,0,11.63,1554066230
24,Balabac,7.99,117.06,81.29,100,0,8.16,1554066193
25,Corinto,-18.36,-44.46,81.83,46,44,2.91,1554066345
26,Senno,57.76,27.95,37.4,69,32,13.42,1554062400
27,Castro,-42.48,-73.76,57.2,100,90,5.82,1554062400
28,Manokwari,-0.87,134.08,80.93,100,64,10.96,1554065710
29,Grand Valley,43.9,-80.32,28.69,73,90,20.8,1554066342
30,Arraial do Cabo,-22.97,-42.02,79.66,57,0,8.05,1554062400
31,Cape Town,-33.93,18.42,60.69,82,75,3.36,1554066191
32,Muisne,0.61,-80.02,80.6,88,75,5.82,1554062400
